spread,imb_bucket,Mid-Adjustment
1.0,0,-70.6984084266774
1.0,1,-58.39546303390319
1.0,2,-40.831939973040335
1.0,3,-21.527269046856336
1.0,4,2.149424244747373
1.0,5,25.44229924055652
1.0,6,44.967516065250905
1.0,7,62.89848917469348
1.0,8,76.1404414714034
2.0,0,-67.84580179010707
2.0,1,-55.42718596274261
2.0,2,-38.19295794324571
2.0,3,-21.987805397847268
2.0,4,-0.25479979507262973
2.0,5,20.8836940084419
2.0,6,38.279764996643976
2.0,7,57.355309345496195
2.0,8,71.97687921287957
3.0,0,-67.39638855878783
3.0,1,-53.44239455726352
3.0,2,-38.855321228776965
3.0,3,-21.255080223263704
3.0,4,0.2874249912258228
3.0,5,20.775495905863984
3.0,6,37.920835869425
3.0,7,57.130003820632375
3.0,8,71.153029637958
4.0,0,-66.38475390867929
4.0,1,-52.14924521460039
4.0,2,-36.65886377362939
4.0,3,-19.40345504100813
4.0,4,1.8358701321823325
4.0,5,22.184759556148283
4.0,6,40.17330516775988
4.0,7,56.688631671814605
4.0,8,69.38944226034972
5.0,0,-68.69353630185125
5.0,1,-54.121914463911914
5.0,2,-35.83752251959422
5.0,3,-19.22228522280441
5.0,4,1.492637065986235
5.0,5,22.097864118065807
5.0,6,39.7665953203631
5.0,7,58.227904288423794
5.0,8,73.02084899156097
6.0,0,-68.55763004078227
6.0,1,-55.5884047909543
6.0,2,-36.609824059297054
6.0,3,-19.696773471255195
6.0,4,-0.8045525198553528
6.0,5,20.91109557554168
6.0,6,38.921689819977075
6.0,7,56.08503242305726
6.0,8,69.03286068246139
7.0,0,-68.89540183050356
7.0,1,-57.05311245057668
7.0,2,-36.851993689699945
7.0,3,-21.426225860100356
7.0,4,-2.0486960309551443
7.0,5,21.04066046137077
7.0,6,40.36844138985376
7.0,7,58.147515692787216
7.0,8,71.03416023878917
8.0,0,-68.74558094470662
8.0,1,-54.82395985723446
8.0,2,-35.330492918204214
8.0,3,-17.562894817043308
8.0,4,1.6453208876830065
8.0,5,22.78188855046301
8.0,6,40.70439709995994
8.0,7,58.258625537615586
